ipa,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,velaric,tense,long,hitone,hireg
˩,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
˨,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,-
˧,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
˦,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,+
˥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+
ᵊq,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
q̚,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
q̠,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
q̥̚,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
ɢ̥̚,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
q̠̊,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
ɢ̠̊,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
q̥,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
ɢ̥,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
q,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
q̊,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
ɢ̊,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
q̟,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
ᵊɢ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
ɢ̚,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
ɢ̠,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
ɢ,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
q̬,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
ɢ̟,-,-,+,-,-,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0
q̥ː,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,+,0,0
ɢ̥ː,-,-,+,-,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,+,0,0
